[2026-02-21 21:35:34] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AyXg9bD2uP1-ajvsyTkhUGj"}
[2026-02-21 21:35:44] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A0JDOZOdc0eRAJnNJgD6oIz"}
[2026-02-21 21:35:44] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A5nyY_c1-HGd2h_8FyYZ1WT"}
[2026-02-21 21:36:03] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ARbegb_aWvUU7LDRJIzUohV"}
[2026-02-21 21:36:03] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A9CGwFiC2zIXeAvMkbTbJ6I"}
[2026-02-21 21:36:20] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A1FgIF5r_E8bQSJUpqXfkMR"}
[2026-02-21 21:36:20] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AK0KxXEnfYQ8TOU_hRiueSR"}
[2026-02-21 21:36:32] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A7dhBPyDBOoxeEvTmW46C0i"}
[2026-02-21 21:36:32] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AO1i5tTje6QgXT05t8dfWal"}
[2026-02-21 21:39:12] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AvJdW1CHQRtA6lSPheBq4YM"}
[2026-02-21 21:39:13] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AvcgqGiAuDa-vMyUA43eIrF"}
[2026-02-21 21:41:24] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AwKePs7etpS96Ggr4UcGkB8"}
[2026-02-21 21:41:24] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A9fuP_tDh2CdPObyCax5csx"}
[2026-02-21 21:41:26] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ABuxRo0RP8Yq26NjzUck5lp"}
[2026-02-21 21:41:27] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AuorpX9iv4v434nqP0-uLrV"}
[2026-02-21 21:43:18] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AmsgGLb4JnSQNctj8ec5A6h"}
[2026-02-21 21:43:18] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AxRFTviGRImvk-AvHqf-xnI"}
[2026-02-21 21:43:58] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A-Xn_0ycGKHhplcikIDOwcG"}
[2026-02-21 21:43:58] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"APrsghoZ1hZZJB3LuLYARXS"}
[2026-02-21 21:45:34] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ADazm94LO7u4Y2kb1DaV6io"}
[2026-02-21 21:48:17] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ABmmX8bndNLrutqr6UPEAJU"}
[2026-02-21 21:48:17] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"As4-Gqkte4T0JJxTd20MSeY"}
[2026-02-21 21:48:58] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Aw3KIB6WgVn2d_ol8ICRens"}
[2026-02-21 21:48:58] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AIlUwLvNC3uTmOf2T-xFDFc"}
[2026-02-21 21:48:58] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ASbkAQfIO36pot0ipFB2ivP"}
